audit_id,Cloud,Instance Type,Bottleneck Bandwidth,Create Time,End Time,Weekday,Time Chunk,Old Top Nodes,Old Cluster Size,Longitude,Latitude,Top Nodes,Cluster Size
14434dc70643474184761c3b07bdc02c,GKE,n2-standard-4,9.596057453924532,11.479365184444445,12.485279019722222,0,1,"[1, 1, 1]",3,-3.3556838897196446,81.69032476644752,"[2, 1, 1]",4
65e2f88cb52d4ce28c71cbb99bc974e0,EKS,m4.xlarge,0.7652141848542564,20.876662118333332,3.027896346111111,4,2,"[1, 1, 1]",3,-73.4502598194805,88.0,"[1, 1, 1]",3
7fb9fbd19ada444a9f99ad884c99da2b,AKS,Standard_D4s_v3,1.8813559951178591,17.454778324166668,23.58705736111111,2,1,"[1, 1, 1]",3,-85.79436196089732,77.79661664069407,"[2, 1, 1]",4
36036bf21f17435e886365d0d7bae9a5,AKS,Standard_D4s_v3,1.884259190353546,17.454778324166668,23.58705736111111,2,1,"[1, 1, 1]",3,-81.63461284823349,78.0952310077933,"[2, 1, 1]",4
93abecd55a9943e6a65400bc0949d778,EKS,m5.xlarge,8.281155566317752,21.307143316666664,22.457080203333334,5,2,"[1, 1, 1]",3,9.247549430412072,54.64091450710804,"[2, 1, 1]",4
50e5442662714236b100b0efe69279c2,EKS,m5.xlarge,9.250646419241551,6.054211643888889,7.155813184444445,2,3,"[1, 1, 1]",3,-7.453538920305027,74.58472633868334,"[2, 2, 1]",5
36624fa7508446e8bb320da030fd9f66,EKS,m5.xlarge,8.270423503764999,14.954906735555555,16.07591700472222,6,1,"[1, 1, 1]",3,3.3250858973335475,54.420140648879965,"[2, 2, 1]",5
b8a3b9fd916e450b8e7432c655f69726,EKS,m5.xlarge,8.933282703685718,22.540291699444445,23.644284393611112,1,2,"[1, 1, 1]",3,-3.114500297807754,68.05610133296335,"[1, 1, 1]",3
cb5807df7e1c4620acb0c8e1bec6a3c1,EKS,m5.xlarge,9.202370121756028,22.540291699444445,23.644284393611112,1,2,"[1, 1, 1]",3,-0.23654596080328538,73.59161393326686,"[1, 1, 1]",3
b9a5c07989cb44a8be6853ae5e4d055e,EKS,m5.xlarge,8.545426915212579,16.440491535555555,17.573386548055556,5,1,"[1, 1, 1]",3,0.24251019986350109,60.07735368437304,"[2, 2, 1]",5
